OrderID,CustomerID,RestaurantID,OrderDate
493,4,5,28/04/2025
116,4,6,23/04/2024
199,4,6,13/07/2024
257,4,6,9/09/2024
274,4,6,26/09/2024
280,4,6,1/10/2024
290,4,6,11/10/2024
443,4,6,9/03/2025
11,4,7,11/01/2024
61,4,7,30-02-2024
76,4,7,14/03/2024
140,4,7,16/05/2024
233,4,7,16/08/2024
262,4,7,14/09/2024
267,4,7,19/09/2024
474,4,7,9/04/2025
149,5,1,25/05/2024
184,5,1,29/06/2024
198,5,1,12/07/2024
215,5,1,29/07/2024
223,5,1,6/08/2024
307,5,1,28/10/2024
219,5,2,2/08/2024
350,5,2,9/12/2024
425,5,2,22/02/2025
431,5,2,28/02/2025
461,5,2,27/03/2025
286,5,3,7/10/2024
336,5,3,26/11/2024
360,5,3,19/12/2024
96,5,4,3/04/2024
458,5,4,24/03/2025
58,5,5,27/02/2024
79,5,5,17/03/2024
205,5,5,19/07/2024
44,5,6,13/02/2024
327,5,6,17/11/2024
423,5,6,20/02/2025
66,5,7,4/03/2024
359,5,7,18/12/2024
248,6,1,31/08/2024
269,6,1,21/09/2024
398,6,1,26/01/2025
408,6,1,5/02/2025
468,6,1,3/04/2025
48,6,2,17/02/2024
371,6,2,30/12/2024
87,6,3,25/03/2024
156,6,3,1/06/2024
171,6,3,16/06/2024
218,6,3,1/08/2024
118,6,4,25/04/2024
276,6,4,28/09/2024
450,6,4,16/03/2025
476,6,4,11/04/2025
35,6,5,4/02/2024
105,6,5,12/04/2024
228,6,5,11/08/2024
251,6,5,3/09/2024
426,6,5,23/02/2025
56,6,6,25/02/2024
93,6,6,31/03/2024
394,6,6,22/01/2025
407,6,6,4/02/2025
496,6,6,31-04-2025
1,6,7,1/01/2024
45,6,7,14/02/2024
231,6,7,14/08/2024
3,7,1,3/01/2024
21,7,1,21/01/2024
52,7,1,21/02/2024
422,7,1,19/02/2025
94,7,2,1/04/2024
393,7,2,21/01/2025
401,7,2,29/01/2025
432,7,2,29-02-2025
30,7,3,30/01/2024
41,7,3,10/02/2024
104,7,3,11/04/2024
130,7,3,6/05/2024
226,7,3,9/08/2024
328,7,3,18/11/2024
358,7,3,17/12/2024
187,7,4,1/07/2024
224,7,4,7/08/2024
247,7,4,30/08/2024
322,7,4,12/11/2024
403,7,4,31/01/2025
49,7,5,18/02/2024
63,7,5,1/03/2024
112,7,5,19/04/2024
162,7,5,7/06/2024
485,7,5,20/04/2025
71,7,6,9/03/2024
103,7,6,10/04/2024
111,7,6,18/04/2024
384,7,6,12/01/2025
466,7,6,1/04/2025
83,7,7,21/03/2024
264,7,7,16/09/2024
133,8,1,9/05/2024
283,8,1,4/10/2024
342,8,1,1/12/2024
409,8,1,6/02/2025
189,8,2,3/07/2024
357,8,2,16/12/2024
410,8,2,7/02/2025
153,8,3,29/05/2024
310,8,3,31/10/2024
340,8,3,30/11/2024
396,8,3,24/01/2025
479,8,3,14/04/2025
492,8,3,27/04/2025
136,8,4,12/05/2024
287,8,4,8/10/2024
302,8,4,23/10/2024
303,8,4,24/10/2024
319,8,4,9/11/2024
25,8,5,25/01/2024
55,8,5,24/02/2024
221,8,5,4/08/2024
236,8,5,19/08/2024
465,8,5,31/03/2025
475,8,5,10/04/2025
117,8,6,24/04/2024
179,8,6,24/06/2024
144,8,7,20/05/2024
146,8,7,22/05/2024
176,8,7,21/06/2024
239,8,7,22/08/2024
254,8,7,6/09/2024
308,8,7,29/10/2024
457,8,7,23/03/2025
186,9,1,31-06-2024
234,9,1,17/08/2024
436,9,1,2/03/2025
444,9,1,10/03/2025
470,9,1,5/04/2025
500,9,1,4/05/2025
131,9,2,7/05/2024
172,9,2,17/06/2024
210,9,2,24/07/2024
337,9,2,27/11/2024
438,9,2,4/03/2025
107,9,3,14/04/2024
305,9,3,26/10/2024
446,9,3,12/03/2025
478,9,3,13/04/2025
43,9,4,12/02/2024
173,9,4,18/06/2024
214,9,4,28/07/2024
335,9,4,25/11/2024
185,9,5,30/06/2024
246,9,5,29/08/2024
282,9,5,3/10/2024
300,9,5,21/10/2024
383,9,5,11/01/2025
241,9,6,24/08/2024
242,9,6,25/08/2024
291,9,6,12/10/2024
309,9,6,30/10/2024
349,9,6,8/12/2024
363,9,6,22/12/2024
154,9,7,30/05/2024
232,9,7,15/08/2024
427,9,7,24/02/2025
124,10,1,31-04-2024
222,10,1,5/08/2024
397,10,1,25/01/2025
456,10,1,22/03/2025
462,10,1,28/03/2025
16,10,2,16/01/2024
68,10,2,6/03/2024
229,10,2,12/08/2024
294,10,2,15/10/2024
120,10,3,27/04/2024
28,10,4,28/01/2024
50,10,4,19/02/2024
65,10,4,3/03/2024
237,10,4,20/08/2024
390,10,4,18/01/2025
36,10,5,5/02/2024
292,10,5,13/10/2024
368,10,5,27/12/2024
437,10,5,3/03/2025
26,10,6,26/01/2024
128,10,6,4/05/2024
296,10,6,17/10/2024
413,10,6,10/02/2025
449,10,6,15/03/2025
101,10,7,8/04/2024
183,10,7,28/06/2024
196,10,7,10/07/2024
325,10,7,15/11/2024
472,10,7,7/04/2025
22,11,1,22/01/2024
193,11,1,7/07/2024
235,11,1,18/08/2024
33,11,2,2/02/2024
60,11,2,29/02/2024
129,11,2,5/05/2024
166,11,2,11/06/2024
377,11,2,5/01/2025
405,11,2,2/02/2025
499,11,2,3/05/2025
311,11,3,1/11/2024
355,11,3,14/12/2024
373,11,3,1/01/2025
391,11,3,19/01/2025
418,11,3,15/02/2025
84,11,4,22/03/2024
121,11,4,28/04/2024
182,11,4,27/06/2024
206,11,4,20/07/2024
317,11,4,7/11/2024
6,11,5,6/01/2024
38,11,5,7/02/2024
64,11,5,2/03/2024
95,11,5,2/04/2024
109,11,5,16/04/2024
316,11,5,6/11/2024
364,11,5,23/12/2024
430,11,5,27/02/2025
34,11,6,3/02/2024
263,11,6,15/09/2024
313,11,6,3/11/2024
434,11,6,31-02-2025
24,11,7,24/01/2024
86,11,7,24/03/2024
178,11,7,23/06/2024
245,11,7,28/08/2024
268,11,7,20/09/2024
455,11,7,21/03/2025
489,11,7,24/04/2025
7,12,1,7/01/2024
20,12,1,20/01/2024
152,12,1,28/05/2024
169,12,1,14/06/2024
406,12,1,3/02/2025
330,12,2,20/11/2024
339,12,2,29/11/2024
351,12,2,10/12/2024
381,12,2,9/01/2025
490,12,2,25/04/2025
91,12,3,29/03/2024
417,12,3,14/02/2025
141,12,4,17/05/2024
155,12,4,31/05/2024
275,12,4,27/09/2024
10,12,5,10/01/2024
47,12,5,16/02/2024
113,12,5,20/04/2024
123,12,5,30/04/2024
126,12,5,2/05/2024
135,12,5,11/05/2024
177,12,5,22/06/2024
220,12,5,3/08/2024
321,12,5,11/11/2024
347,12,5,6/12/2024
412,12,5,9/02/2025
37,12,6,6/02/2024
42,12,6,11/02/2024
89,12,6,27/03/2024
261,12,6,13/09/2024
459,12,6,25/03/2025
39,12,7,8/02/2024
200,13,1,14/07/2024
258,13,1,10/09/2024
375,13,1,3/01/2025
380,13,1,8/01/2025
464,13,1,30/03/2025
138,13,2,14/05/2024
180,13,2,25/06/2024
204,13,2,18/07/2024
442,13,2,8/03/2025
127,13,3,3/05/2024
445,13,3,11/03/2025
451,13,3,17/03/2025
4,13,4,4/01/2024
15,13,4,15/01/2024
159,13,4,4/06/2024
170,13,4,15/06/2024
323,13,4,13/11/2024
106,13,5,13/04/2024
110,13,5,17/04/2024
227,13,5,10/08/2024
250,13,5,2/09/2024
281,13,5,2/10/2024
285,13,5,6/10/2024
341,13,5,31-11-2024
388,13,5,16/01/2025
59,13,6,28/02/2024
72,13,6,10/03/2024
92,13,6,30/03/2024
188,13,6,2/07/2024
338,13,6,28/11/2024
420,13,6,17/02/2025
168,13,7,13/06/2024
174,13,7,19/06/2024
213,13,7,27/07/2024
320,13,7,10/11/2024
369,13,7,28/12/2024
376,13,7,4/01/2025
416,13,7,13/02/2025
473,13,7,8/04/2025
13,14,1,13/01/2024
266,14,1,18/09/2024
288,14,1,9/10/2024
315,14,1,5/11/2024
329,14,1,19/11/2024
448,14,1,14/03/2025
82,14,2,20/03/2024
100,14,2,7/04/2024
497,14,2,1/05/2025
139,14,3,15/05/2024
181,14,3,26/06/2024
297,14,3,18/10/2024
414,14,3,11/02/2025
272,14,4,24/09/2024
326,14,4,16/11/2024
415,14,4,12/02/2025
460,14,4,26/03/2025
471,14,4,6/04/2025
481,14,4,16/04/2025
491,14,4,26/04/2025
143,14,5,19/05/2024
238,14,5,21/08/2024
243,14,5,26/08/2024
433,14,5,30-02-2025
40,14,6,9/02/2024
161,14,6,6/06/2024
164,14,6,9/06/2024
197,14,6,11/07/2024
318,14,6,8/11/2024
386,14,6,14/01/2025
467,14,6,2/04/2025
486,14,6,21/04/2025
32,14,7,1/02/2024
69,14,7,7/03/2024
289,14,7,10/10/2024
14,15,1,14/01/2024
122,15,1,29/04/2024
167,15,1,12/06/2024
279,15,1,31-09-2024
324,15,1,14/11/2024
194,15,2,8/07/2024
201,15,2,15/07/2024
379,15,2,7/01/2025
469,15,2,4/04/2025
498,15,2,2/05/2025
119,15,3,26/04/2024
301,15,3,22/10/2024
452,15,3,18/03/2025
495,15,3,30/04/2025
2,15,4,2/01/2024
31,15,4,31/01/2024
74,15,4,12/03/2024
160,15,4,5/06/2024
195,15,4,9/07/2024
441,15,4,7/03/2025
46,15,5,15/02/2024
240,15,5,23/08/2024
249,15,5,1/09/2024
260,15,5,12/09/2024
439,15,5,5/03/2025
494,15,5,29/04/2025
18,15,6,18/01/2024
85,15,6,23/03/2024
203,15,6,17/07/2024
265,15,6,17/09/2024
284,15,6,5/10/2024
67,15,7,5/03/2024
80,15,7,18/03/2024
293,15,7,14/10/2024
304,15,7,25/10/2024
356,15,7,15/12/2024
440,15,7,6/03/2025
482,15,7,17/04/2025
